"id","customer_name","email","password","country","price","Booking_total","city","province","time","gender","month"
"1","Marcos Leannon","Aryanna30@yahoo.com","exaik7tCaLXOQyX","San Marino","286.34","874.21","Clovis","Oregon","2020-01-01T09:09:00.000","female","January"
"2","Krystal Collins III","Zack.Schultz11@yahoo.com","Ki1dzfdjgjKZaxP","Lao People's Democratic Republic","139.85","407.93","Provo","Nevada","2020-01-01T09:10:00.000","female","January"
"3","Lillian Lebsack","Preston.Howe@hotmail.com","PbkJuy4yeFrpii8","Suriname","512.67","322.69","Rio Rancho","North Dakota","2020-01-01T09:11:00.000","female","September"
"4","Derek Klocko II","Gerald.Bergstrom@gmail.com","yDkz5gfCi2qE2eC","Canada","635.18","406.17","Whittier","Idaho","2020-01-01T09:12:00.000","male","April"
"5","Della Welch","Jenifer.Fahey@yahoo.com","qpq4bMWkFJ33kak","Switzerland","112.41","4.25","Methuen Town","Louisiana","2020-01-01T09:13:00.000","female","February"
"6","Rochelle Ledner","Cale.Rodriguez@yahoo.com","Oxr9FkCyyvkfzxK","Benin","845.51","424.73","Murfreesboro","New York","2020-01-01T09:14:00.000","female","February"
"7","Patrick Kassulke","Emerald_Stiedemann@hotmail.com","hx2fOA8iu5Sxg99","Lao People's Democratic Republic","883.44","547.16","New Rochelle","Maryland","2020-01-01T09:15:00.000","female","August"
"8","Priscilla Smith","Marlon86@hotmail.com","U18JphwzDbNav_f","Oman","201.97","636.74","Buffalo Grove","Rhode Island","2020-01-01T09:16:00.000","female","July"
"9","Miss Alberto Cole","Kenton46@yahoo.com","9bbAURMqv8S2Ge9","Bahamas","507.89","606.04","Rowlett","West Virginia","2020-01-01T09:17:00.000","male","March"
"10","Rene Runolfsson V","Gardner_Jacobi0@yahoo.com","cZ7614onDLlF2QH","Falkland Islands (Malvinas)","942.59","457.82","Spring Valley","Hawaii","2020-01-01T09:18:00.000","male","February"
"11","Elias Legros II","Ashlee_Aufderhar@hotmail.com","2shx0jKtONDY25g","Italy","593.36","292.97","Temple","Michigan","2020-01-01T09:19:00.000","male","September"
"12","Jasmine Grady","Domingo39@gmail.com","BlfmuJ1FzkUQXw8","El Salvador","605.08","747.67","Missouri City","Virginia","2020-01-01T09:20:00.000","female","December"
"13","Hugh Satterfield DDS","Maximus49@yahoo.com","j3xk5lFhYRe6yFr","Cote d'Ivoire","820.60","781.17","Lake Elsinore","Alabama","2020-01-01T09:21:00.000","female","April"
"14","Viola Bartoletti I","Yasmine.White@hotmail.com","P5ty9vHtMiFQHwW","United Arab Emirates","493.19","157.69","Irvine","Vermont","2020-01-01T09:22:00.000","female","June"
